refactoring,file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
1,\DATASET\abfiles\r0\c17\after\ActiveFiltersPanelTest.java,mtgdeckbuilder.frontend.ActiveFiltersPanelTest,class,4,4,0,4,4,1,0,14,0,0.375,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,1,37,0,0,0,0,0,25,0,9,0,9,0,0,0,0,55,1,0
1,\DATASET\abfiles\r0\c17\after\TagViewerTest.java,mtgdeckbuilder.frontend.TagViewerTest,class,6,7,1,6,7,1,0,19,0,0.16666667,0.0,0.0,6,1,5,1,0,0,5,0,0,0,4,0,0,4,0,0,0,0,2,53,1,1,0,0,0,30,3,21,0,17,1,0,0,0,50,1,0
1,\DATASET\abfiles\r0\c17\after\TagTopicTest.java,mtgdeckbuilder.frontend.topics.TagTopicTest,class,4,4,0,4,5,1,0,13,0,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,3,0,0,3,0,0,0,0,0,33,0,0,0,0,0,18,8,3,0,3,0,0,0,0,22,1,0
1,\DATASET\abfiles\r0\c17\after\TagAddPanel.java,mtgdeckbuilder.frontend.TagAddPanel$Anonymous1,anonymous,1,1,0,1,2,1,0,5,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,-1,0
1,\DATASET\abfiles\r0\c17\after\TagTopic.java,mtgdeckbuilder.frontend.topics.TagTopic,class,1,13,12,1,9,1,0,5,0,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,1,0,0,32,0,4,0,0,0,0,0,1,0,1,1,0,1,0,14,1,0
1,\DATASET\abfiles\r0\c17\after\NewFilterPanelTest.java,mtgdeckbuilder.frontend.NewFilterPanelTest,class,4,4,0,4,2,1,0,12,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,20,0,0,0,0,0,7,2,7,0,7,0,0,0,0,37,1,0
1,\DATASET\abfiles\r0\c17\after\AddFilterTopic.java,mtgdeckbuilder.frontend.topics.AddFilterTopic$Subscriber,interface,1,1,0,1,1,1,0,0,0,0.0,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0
1,\DATASET\abfiles\r0\c17\after\TagAddPanel.java,mtgdeckbuilder.frontend.TagAddPanel,class,4,7,3,4,4,5,0,8,0,0.375,,,4,0,1,3,0,0,1,0,0,0,4,0,0,4,0,0,4,0,0,38,0,0,0,0,0,3,2,5,0,5,0,1,0,0,23,1,0
1,\DATASET\abfiles\r0\c17\after\ActiveFiltersPanel.java,mtgdeckbuilder.frontend.ActiveFiltersPanel$Anonymous1,anonymous,0,0,0,0,1,1,0,4,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
1,\DATASET\abfiles\r0\c17\after\CardTaggingPanelTest.java,mtgdeckbuilder.frontend.CardTaggingPanelTest,class,8,9,1,8,8,1,0,26,0,0.6190476,0.0,0.0,7,1,6,1,0,0,6,0,0,0,9,5,0,9,0,0,5,0,2,55,1,1,0,0,0,17,3,19,0,19,1,0,0,0,74,1,0
